gene	module	Rg	ReproScore
TCF7L2	1	0.4377817135374262	0.9032395566922421
TFDP1	3	0.09908818932355407	0.5677749360613811
TFRC	6	0.2770943722954894	0.7404092071611253
THBS1	1	0.5323033193115281	0.9173060528559249
THRAP3	2	0.15818855970287932	0.7067348678601876
TLE1	1	-0.13920251018870225	0.4876385336743393
TLE3	2	-0.17476667473253338	0.3895993179880648
TLE4	2	0.03611091278081428	0.5230179028132993
TNC	1	0.5218030478088443	0.8712702472293266
TOP2A	2	0.13957129198930332	0.6253196930946292
TP53	2	0.21938700863401067	0.7058823529411765
TRAF2	2	0.5577567213037933	0.9335038363171355
TRAF7	2	-0.006014481014263989	0.540920716112532
TRAK1	1	0.19581858351660053	0.7182438192668371
TRIM33	6	0.043810969493533025	0.5699062233589087
TSC2	2	0.21826764276142052	0.7075873827791986
TUSC3	2	-0.005864211128734836	0.5183290707587382
TYK2	2	0.610145969920955	0.9347826086956522
U2AF2	3	-0.058126165724493715	0.437766410912191
UBB	1	0.04197596139696161	0.48508098891730606
UBE2A	1	0.07116908428245833	0.5323955669224212
UBR5	1	0.4516416734906723	0.8380221653878943
USP1	2	0.36807415714196334	0.8491048593350383
USP9X	1	-0.07442393913466647	0.5630861040068201
VEGFA	1	0.26292937774499103	0.7097186700767264
VHL	2	0.204384281355507	0.6658141517476556
VWF	1	0.22498178949495978	0.6491901108269394
WWP1	1	0.1550632138800557	0.5818414322250639
WWTR1	1	0.20788461140559905	0.6564364876385337
XIAP	1	0.25756208807475467	0.6837169650468883
XPA	1	-0.07580083633879085	0.4607843137254902
XPO1	6	0.09009718592420535	0.5515771526001705
XRCC1	2	0.19571386512734465	0.7246376811594203
XRCC2	2	0.3495264224449369	0.7297527706734868
YAP1	1	0.531374937358907	0.8768115942028986
YES1	6	0.3162192991148085	0.7340153452685422
YWHAE	3	0.030548947412419303	0.5869565217391305
YY1	1	0.4219497118908836	0.7097186700767264
ZCCHC8	6	0.10700933068263097	0.5140664961636828
ZFP36L1	2	0.20603364469722196	0.7080136402387042
ZFP36L2	2	0.2650668541651713	0.855072463768116
ZMYM2	3	0.2518746186049282	0.808610400682012
ZWILCH	2	0.26626969089722996	0.7536231884057971
