gene,Rg,Rg_mean,n_pairs_computable,ReproScore,R_self,frac_pairs,empirical_p,evt_p,evt_method,evt_n_exc,evt_xi,evt_gof_p,empirical_FDR,evt_FDR,shuffle_p,shuffle_FDR,shuffle_FDR_low_power,atlas_member,strength_tier
SEPT9,0.12441710478278414,0.16596185407051436,6,0.6513213981244672,0.16596185407051436,0.16666666666666666,0.26073926073926074,0.26073926073926074,empirical,NA,NA,NA,0.40078671328671334,0.40078671328671334,0.26073926073926074,0.40078671328671334,FALSE,FALSE,not_member
DDX3X,0.12362954399981371,0.17019059117944235,6,0.6930946291560103,0.17019059117944235,0,0.14485514485514486,0.14485514485514486,empirical,NA,NA,NA,0.26410798503821764,0.26410798503821764,0.14485514485514486,0.26410798503821764,FALSE,FALSE,not_member
SF3B2,0.12172040770316943,0.1448141613023256,6,0.5997442455242967,0.1448141613023256,0.16666666666666666,0.1888111888111888,0.1888111888111888,empirical,NA,NA,NA,0.3232051791003756,0.3232051791003756,0.1888111888111888,0.3232051791003756,FALSE,FALSE,not_member
ARID1A,0.12155635671714324,-0.02035416903088379,6,0.495311167945439,-0.02035416903088379,0,0.2077922077922078,0.2077922077922078,empirical,NA,NA,NA,0.3422459893048128,0.3422459893048128,0.2077922077922078,0.3422459893048128,FALSE,FALSE,not_member
DDIT3,0.12008634697044027,0.018937691320264006,6,0.5098039215686274,0.018937691320264006,0.16666666666666666,0.26173826173826176,0.26173826173826176,empirical,NA,NA,NA,0.40078671328671334,0.40078671328671334,0.26173826173826176,0.40078671328671334,FALSE,FALSE,not_member
SMC3,0.11800355580736521,0.13118694763165473,6,0.644927536231884,0.13118694763165473,0,0.0969030969030969,0.0969030969030969,empirical,NA,NA,NA,0.21038535932152955,0.21038535932152955,0.0969030969030969,0.21038535932152955,FALSE,FALSE,not_member
RPL22,0.1165766777075053,0.05356716505852379,6,0.5861040068201193,0.05356716505852379,0,0.2707292707292707,0.2707292707292707,empirical,NA,NA,NA,0.41294114445865415,0.41294114445865415,0.2707292707292707,0.41294114445865415,FALSE,FALSE,not_member
EPCAM,0.11370518322797953,0.1482982476754328,6,0.632992327365729,0.1482982476754328,0,0.27472527472527475,0.27472527472527475,empirical,NA,NA,NA,0.4158004158004159,0.4158004158004159,0.27472527472527475,0.4158004158004159,FALSE,FALSE,not_member
ITGAV,0.11120139266443335,0.20039273633261506,6,0.7011935208866156,0.20039273633261506,0,0.19480519480519481,0.19480519480519481,empirical,NA,NA,NA,0.3277409285992977,0.3277409285992977,0.19480519480519481,0.3277409285992977,FALSE,FALSE,not_member
HDAC1,0.11013277904117907,0.11787556409767214,6,0.5993179880647912,0.11787556409767214,0,0.2917082917082917,0.2917082917082917,empirical,NA,NA,NA,0.4298859035701141,0.4298859035701141,0.2917082917082917,0.4298859035701141,FALSE,FALSE,not_member
